,Column1,NAME,NUMBER OF COURSES,companyname,coursetype,URL2,Column5
121,504,Corporate Entrepreneurship: Innovating within Corporations,5.0,"University of Maryland, College Park",SPECIALIZATION,https://www.coursera.org/specializations/corporate-entrepreneurship,
122,128,Creative Writing,5.0,Wesleyan University,SPECIALIZATION,https://www.coursera.org/specializations/creative-writing,
123,360,"Creatividad, diseño e innovación: Técnicas y herramientas",4.0,Universidad Nacional Autónoma de México,SPECIALIZATION,https://www.coursera.org/specializations/creatividad-diseno-innovacion,
124,446,Creativity and A.I.,3.0,"Parsons School of Design, The New School",SPECIALIZATION,https://www.coursera.org/specializations/creativity-ai,
125,276,Culture-Driven Team Building,5.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/team-building,
126,517,Customer Experiences with Contact Center AI - Dialogflow CX,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/customer-experiences-with-contact-center-ai-dialogflow-cx,
127,514,Customer Experiences with Contact Center AI - Dialogflow ES,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/customer-experience-gcp,
128,447,Cyber Incident Response,3.0,Infosec,SPECIALIZATION,https://www.coursera.org/specializations/cyber-incident-response,
129,178,Cybersecurity,5.0,"University of Maryland, College Park",SPECIALIZATION,https://www.coursera.org/specializations/cyber-security,
130,553,Cybersecurity for Business,4.0,University of Colorado System,SPECIALIZATION,https://www.coursera.org/specializations/cyber-security-business,
131,429,Cybersecurity in the Cloud,4.0,University of Minnesota,SPECIALIZATION,https://www.coursera.org/specializations/cybersecurity-cloud,
132,630,Cybersecurity Leadership and Management,3.0,Infosec,SPECIALIZATION,https://www.coursera.org/specializations/cybersecurity-leadership,
133,577,Cybersecurity: Developing a Program for Your Business,4.0,University System of Georgia,SPECIALIZATION,https://www.coursera.org/specializations/cybersecurity-developing-program-for-business,
134,530,Data Analysis and Interpretation,5.0,Wesleyan University,SPECIALIZATION,https://www.coursera.org/specializations/data-analysis,
135,71,Data Analysis and Presentation Skills: the PwC Approach,5.0,PwC,SPECIALIZATION,https://www.coursera.org/specializations/pwc-analytics,
136,15,Data Analysis and Visualization Foundations,3.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/data-analysis-visualization-foundations,
137,629,"Data Engineer, Big Data and ML on Google Cloud auf Deutsch",5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/gcp-data-machine-learning,
138,615,"Data Engineer, Big Data and ML on Google Cloud em Português",5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/gcp-data-machine-learning-br,
139,616,"Data Engineer, Big Data and ML on Google Cloud en Français",5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/gcp-data-machine-learning-fr,
140,13,Data Engineering Foundations,5.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/data-engineering-foundations,
141,431,"Data Engineering, Big Data and ML on Google Cloud 日本語版",5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/gcp-data-machine-learning-jp,
142,466,"Data Engineering, Big Data and ML on Google Cloud en Español",5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/gcp-data-machine-learning-es,
143,67,"Data Engineering, Big Data, and Machine Learning on GCP",5.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/gcp-data-machine-learning,
144,403,Data Literacy,5.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/data-literacy,
145,238,Data Mining,6.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/data-mining,
146,501,Data Mining Foundations and Practice,3.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/data-mining-foundations-practice,
147,47,Data Science,9.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/jhu-data-science,
148,562,Data Science at Scale,4.0,University of Washington,SPECIALIZATION,https://www.coursera.org/specializations/data-science,
149,609,Data Science Fundamentals,4.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/data-science-fundamentals,
150,8,Data Science Fundamentals with Python and SQL,5.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,
151,314,Data Science with Databricks for Data Analysts,3.0,Databricks,SPECIALIZATION,https://www.coursera.org/specializations/data-science-with-databricks-for-data-analysts,
152,54,Data Science: Foundations using R,5.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/data-science-foundations-r,
153,321,Data Science: Statistics and Machine Learning,5.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/data-science-statistics-machine-learning,
154,110,Data Structures and Algorithms,6.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/data-structures-algorithms,
155,148,Data Structures and Algorithms,3.0,University of California San Diego,SPECIALIZATION,https://www.coursera.org/specializations/boulder-data-structures-algorithms,
156,323,Data Visualization & Dashboarding with R,5.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/jhu-data-visualization-dashboarding-with-r,
157,100,Data Visualization with Tableau,5.0,"University of California, Davis",SPECIALIZATION,https://www.coursera.org/specializations/data-visualization,
158,283,Data Warehousing for Business Intelligence,5.0,University of Colorado System,SPECIALIZATION,https://www.coursera.org/specializations/data-warehousing,
159,548,Database systems,4.0,Universidad Nacional Autónoma de México,SPECIALIZATION,https://www.coursera.org/specializations/database-systems,
160,490,Data-Driven Decision Making (DDDM),3.0,University at Buffalo,SPECIALIZATION,https://www.coursera.org/specializations/data-driven-decision-making,
161,6,Deep Learning,5.0,DeepLearning.AI,SPECIALIZATION,https://www.coursera.org/specializations/deep-learning,
162,25,DeepLearning.AI TensorFlow Developer,4.0,DeepLearning.AI,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/tensorflow-in-practice,
163,528,Desarrollo y Diseño de Videojuegos,5.0,Universidad de los Andes,SPECIALIZATION,https://www.coursera.org/specializations/desarrollo-videojuegos,
164,427,Design of Experiments,4.0,Arizona State University,SPECIALIZATION,https://www.coursera.org/specializations/design-experiments,
165,149,Developing APIs with Google Cloud's Apigee API Platform,3.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/apigee-api-gcp,
166,57,Developing Applications with Google Cloud,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/developing-apps-gcp,
167,433,Developing Applications with Google Cloud 日本語版,4.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/developing-apps-gcp-jp,
